video,frame_id,timestamp,class,confidence,x1,y1,x2,y2
monkeysplaying,180,00:00:07,monkey,0.618,162,340,716,1280
monkeysplaying,181,00:00:07,monkey,0.569,168,331,719,1280
monkeysplaying,182,00:00:07,monkey,0.572,164,336,718,1280
monkeysplaying,183,00:00:07,monkey,0.581,158,337,718,1279
monkeysplaying,184,00:00:08,monkey,0.614,156,342,717,1279
monkeysplaying,185,00:00:08,monkey,0.636,157,328,720,1279
monkeysplaying,186,00:00:08,monkey,0.614,257,374,559,715
monkeysplaying,186,00:00:08,monkey,0.601,177,337,720,1280
monkeysplaying,187,00:00:08,monkey,0.64,173,338,720,1280
monkeysplaying,187,00:00:08,monkey,0.515,264,373,560,714
monkeysplaying,188,00:00:08,monkey,0.706,262,376,559,689
monkeysplaying,188,00:00:08,monkey,0.62,176,335,720,1279
monkeysplaying,189,00:00:08,monkey,0.662,172,345,718,1280
monkeysplaying,189,00:00:08,monkey,0.554,521,366,687,646
monkeysplaying,190,00:00:08,monkey,0.795,518,356,701,720
monkeysplaying,190,00:00:08,monkey,0.682,173,348,719,1280
monkeysplaying,191,00:00:08,monkey,0.707,172,366,719,1280
monkeysplaying,191,00:00:08,monkey,0.568,519,356,710,760
monkeysplaying,192,00:00:08,monkey,0.689,178,367,717,1280
monkeysplaying,192,00:00:08,monkey,0.624,518,357,710,711
monkeysplaying,192,00:00:08,monkey,0.58,282,385,586,849
monkeysplaying,193,00:00:08,monkey,0.625,165,357,719,1280
monkeysplaying,193,00:00:08,monkey,0.586,288,376,559,804
monkeysplaying,194,00:00:08,monkey,0.611,182,338,720,1280
monkeysplaying,195,00:00:08,monkey,0.585,198,335,720,1280
monkeysplaying,197,00:00:08,monkey,0.739,523,387,716,736
